,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
71,20191220_53_20_2_73754,53,GBM,SeededDirectional,0.008774724577951499,73900.385,73257.56999999999,20,73754.28,2,Complete,65.25116229057312,1.1539454460144043,57.719889402389526,2376.9049999999943,,31,62
72,20191225_38_10_2_276437,38,GBM,Naive,0.030951932052418894,285682.92999999993,277105.96499999997,10,276437.76,2,Complete,5.255346298217773,0.3977792263031006,0.15185832977294922,2.8149999999568536,,8,16
73,20191225_38_10_2_276437,38,GBM,Directional,0.045255828397631336,289646.625,277105.96499999997,10,276437.76,2,Complete,19.76382613182068,0.5276823043823242,14.660773754119873,8241.85499999998,,18,36
74,20191225_38_10_2_276437,38,GBM,SeededDirectional,0.04064484862316116,288368.89499999996,277105.96499999997,10,276437.76,2,Complete,17.205923080444336,0.49057722091674805,12.028876066207886,7141.524999999981,,22,44
75,20200114_83_38_8_344318,83,GBM,Naive,-0.23469162633707286,263880.33999999997,344802.62999999995,38,344318.44,8,Complete,14.264684915542603,4.060981750488281,0.15414214134216309,2.029999999949723,,33,264
76,20200114_83_38_8_344318,83,GBM,Directional,-0.19880112283366277,276255.48,344802.62999999995,38,344318.44,8,Complete,535.0834083557129,4.736643075942993,520.1168661117554,19524.930000000015,,45,360
77,20200114_83_38_8_344318,83,GBM,SeededDirectional,-0.20975386701661744,272478.945,344802.62999999995,38,344318.44,8,Complete,773.5069994926453,4.921818256378174,758.0646998882294,59.43499999997948,,53,424
78,20200210_78_36_2_348260,78,GBM,Naive,-0.1205589419956996,307247.8599999999,349367.1999999999,36,348260.61,2,Complete,14.06033706665039,4.00534987449646,0.16489171981811523,13.959999999930005,,31,62
79,20200210_78_36_2_348260,78,GBM,Directional,-0.14489263731684043,298746.46499999985,349367.1999999999,36,348260.61,2,Complete,396.6029121875763,4.300800800323486,382.41884183883667,14.514999999937572,,42,84
80,20200210_78_36_2_348260,78,GBM,SeededDirectional,-0.1770524536934203,287510.88,349367.1999999999,36,348260.61,2,Infeasible,501.93283247947693,4.078085899353027,487.68611574172974,43871.10999999999,,34,68
