,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
50,20190222_82_20_6_176258,82,GBM,SeededDirectional,0.004601951242995356,176960.915,176150.28000000003,20,176258.36,6,Complete,127.49546766281128,2.3055648803710938,116.82522201538086,3425.7950000000037,,30,180
51,20190321_36_21_6_79695,36,GBM,Naive,0.016705455179905838,78901.01,77604.59000000003,21,79695.77,6,Complete,4.578046798706055,0.6204285621643066,0.13652443885803223,0.7899999999963256,,16,96
52,20190321_36_21_6_79695,36,GBM,Directional,0.04519655345128377,81112.04999999999,77604.59000000003,21,79695.77,6,Complete,18.615156888961792,0.633704662322998,14.2197585105896,7.809999999998581,,25,150
53,20190321_36_21_6_79695,36,GBM,SeededDirectional,0.016194402934155895,78861.34999999999,77604.59000000003,21,79695.77,6,Complete,339.99175357818604,0.6784753799438477,335.53751730918884,2795.2599999999884,,28,168
54,20190424_38_36_9_32683,38,GBM,Naive,0.01518504674741852,32917.700000000004,32425.32,36,32683.24,9,Complete,5.231048345565796,0.9829859733581543,0.15439486503601074,0.05000000000222826,,21,189
55,20190424_38_36_9_32683,38,GBM,Directional,0.03438424046393391,33540.240000000005,32425.32,36,32683.24,9,Complete,368.00502586364746,1.0804009437561035,362.8768632411957,3561.1299999999974,,39,351
56,20190424_38_36_9_32683,38,GBM,SeededDirectional,0.03870462959193602,33680.329999999994,32425.32,36,32683.24,9,Complete,62.17751622200012,1.0921175479888916,57.03582167625427,2454.9700000000003,,35,315
57,20190429_74_20_5_177864,74,GBM,Naive,0.004935958248290271,179393.58000000002,178512.45,20,177864.02,5,Complete,10.051629781723022,1.9893860816955566,0.16761112213134766,3.1400000000112414,,17,85
58,20190429_74_20_5_177864,74,GBM,Directional,-0.011112894366751658,176528.65999999997,178512.45,20,177864.02,5,Complete,67.68054127693176,1.9968931674957275,57.720356941223145,2908.859999999992,,30,150
59,20190429_74_20_5_177864,74,GBM,SeededDirectional,-0.005805757525595521,177476.05000000002,178512.45,20,177864.02,5,Complete,77.56541991233826,1.9562418460845947,67.57860231399536,3856.250000000016,,32,160
60,20190920_74_34_3_26992,74,GBM,Naive,0.05380495874150079,28386.850000000002,26937.48,34,26992.09,3,Complete,11.237831592559814,2.8927507400512695,0.17073535919189453,0.1799999999998363,,23,69
61,20190920_74_34_3_26992,74,GBM,Directional,0.021249203711705827,27509.88,26937.48,34,26992.09,3,Complete,579.9619073867798,2.93440842628479,568.8473484516144,10.339999999999463,,39,117
62,20190920_74_34_3_26992,74,GBM,SeededDirectional,-0.008932906864338971,26696.850000000006,26937.48,34,26992.09,3,Complete,956.6837153434753,2.819246292114258,945.554395198822,954.1700000000042,,48,144
63,20190927_38_38_2_20079,38,GBM,Naive,0.04325142561734264,21058.150000000005,20185.114999999998,38,20079.28,2,Complete,5.489496231079102,0.9002692699432373,0.15634465217590332,0.10000000000331966,,34,68
64,20190927_38_38_2_20079,38,GBM,Directional,0.005106981060053368,20288.199999999997,20185.114999999998,38,20079.28,2,Infeasible,28.414163827896118,0.9457314014434814,23.03277039527893,2300.4199999999964,,29,58
