,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
165,21_268762_268274_2,DirP_75.0,0.024741574,275411.595,268762,21,9.35E-05,268762,2,5.024403789,Complete,15.23354793,196.825,0.75,26,52
166,21_268762_268274_2,DirP_500,0.024268795,275284.53,268762,21,9.35E-05,268762,2,5.024403789,Complete,14.57418871,298.38,5,30,60
167,21_268762_268274_2,Naive,0.023815978,275162.83,268762,21,9.35E-05,268762,2,5.024403789,Complete,4.524698496,0.47,,15,30
168,21_302607_302524_5,Directional,-0.016718549,297547.85,302607,21,0.000317479,302607,5,9.502590523,Infeasible,9.611994743,8451.85,,14,70
169,21_302607_302524_5,DirP_0,-0.045111977,288955.8,302607,21,0.000317479,302607,5,9.502590523,Infeasible,15.16547394,33.5,0,21,105
170,21_302607_302524_5,DirP_25.0,-0.019487553,296709.93,302607,21,0.000317479,302607,5,9.502590523,Complete,15.71515918,346.06,0.25,46,230
171,21_302607_302524_5,DirP_50.0,-0.016630415,297574.52,302607,21,0.000317479,302607,5,9.502590523,Complete,15.68998313,51.55,0.5,28,140
172,21_302607_302524_5,DirP_75.0,-0.016574336,297591.49,302607,21,0.000317479,302607,5,9.502590523,Complete,15.34231734,166.2,0.75,29,145
173,21_302607_302524_5,DirP_500,-0.016637256,297572.45,302607,21,0.000317479,302607,5,9.502590523,Complete,15.02691221,158.15,5,29,145
174,21_302607_302524_5,Naive,-0.019213039,296793,302607,21,0.000317479,302607,5,9.502590523,Complete,4.506079912,0.1,,20,100
175,21_333363_332427_2,Directional,-0.011142598,329648.47,333363,21,0.000121329,333363,2,6.946817818,Infeasible,12.71395636,39.3,,15,30
176,21_333363_332427_2,DirP_0,0.044081047,348057.99,333363,21,0.000121329,333363,2,6.946817818,Complete,14.91377425,41.66,0,50,100
177,21_333363_332427_2,DirP_25.0,-0.010695068,329797.66,333363,21,0.000121329,333363,2,6.946817818,Complete,14.5233674,8.23,0.25,38,76
